"","time","fingerprint","age","race","gender"
"1",1658153269.92399,"117898516328799a034d49d4c816facf",23,"White","Female"
"2",1658153705.39287,"d10db9594b64970464d5f0c856c8d788",24,"White","Male"
"3",1658154469.31282,"aecdfefd170d122964a9bada654a6ca1",29,"White","Female"
"4",1658154550.1967,"06bd90e736b7fa0fc5e020f2054f08e5",29,"Hispanic","Female"
"6",1658154671.24847,"ede71e6d5f864ccc40b9d6322772c0b2",38,"White","Male"
"7",1658154716.1933,"06bd90e736b7fa0fc5e020f2054f08e5",NA,"Hispanic","Female"
"9",1658154975.81494,"8ff768f197ccc0252879f6b2beb90c07",38,"White","Male"
"11",1658155096.65236,"e9a6a97d9a8a91a4b682dd7329ae25eb",29,"American Indian or Alaska Native","Female"
"12",1658155208.87589,"062f1fb0c619e69b69fd08bfb2bf3085",35,"White","Male"
"14",1658155288.49114,"67aa1e9b1498ce5be88a400f84c03109",57,"White","Female"
"15",1658155291.88662,"e38f2811b8da98348c9540973d62ba7f",38,"Black or African American","Female"
"16",1658155310.6883,"1cab966fb3dc150c4c65693ef5e71ca5",20,"White","Female"
"17",1658155314.13693,"84d1eb12361a30d66a02c779e6d01613",61,"White","Female"
"18",1658155343.01484,"609422e9d3254f6bd03046a61803f861",19,"White","Male"
"19",1658155360.02989,"b4f0fd448b1309ea55a85b72b9355497",37,"White","Female"
"20",1658155376.56594,"99e75bff8ae9af9101b5ca3a8442b5d4",33,"White, Asian","Male"
"21",1658155458.2611,"e21e063dd5e7b72cb985d49d4252424a",59,"White","Female"
"22",1658155483.72591,"770ba921ab011e852867c4102d01561d",NA,"White","Female"
"23",1658155659.78282,"8ff768f197ccc0252879f6b2beb90c07",39,"White","Male"
"25",1658156025.59357,"062f1fb0c619e69b69fd08bfb2bf3085",35,"White","Male"
"27",1658253718.77491,"9cbc93f0247f91aef7f57a6c508dd3eb",58,"White","Female"
"28",1658253817.48319,"a275779ae0a24a4d9167bf0804e8f236",18,"White","Female"
"29",1658253860.20428,"d562ff5e58b6b2ef316df7f9fc386e08",27,"White","Female"
"30",1658254034.33836,"969e9c60f262eef074d4c3f8fcc84ced",29,"White","Male"
"31",1658254272.23574,"501dc94d79deb9d07c3176258bd27acc",55,"White","Female"
"32",1658254367.14364,"141576d43808479b2c257f0c4484a7f5",35,"White","Male"
"33",1658254517.84545,"9330bd66d0ad930e012aba0d34d18447",20,"Black or African American","Male"
"34",1658254687.19504,"0db40b4cf90889876e0df6585988fbd3",27,"White","Male"
"35",1658254696.99814,"e6728936c5942ea8b00fbb91aa49a04d",34,"White","Male"
"36",1658254847.58558,"3cfcb4f3a526ba113358568d5c765910",43,"Black or African American","Male"
