"","race","gender","age","income","gunown","guncomfort","time.x","fingerprint","educ","vote","poli","arrest","state","jury","jurycrim","time.y"
"1","White","Female",23,"$30,000 - $39,999","No","Extremely Comfortable",1658153269.92399,"117898516328799a034d49d4c816facf","High school graduate","No consistent preference","Middle of the Road","No","VA","No","N/A",1658153312.06794
"2","White","Male",24,"$50,000 - $59,999","No","Moderately Comfortable",1658153705.39287,"d10db9594b64970464d5f0c856c8d788","4 year degree","Democratic","Very Liberal","No","FL","No","N/A",1658153725.65878
"3","White","Female",29,"$20,000 - $29,999","No","Slightly Uncomfortable",1658154469.31282,"aecdfefd170d122964a9bada654a6ca1","High school graduate","Democratic","Somewhat Liberal","Yes","OR","No","N/A",1658154497.00254
"4","Hispanic","Female",29,"More than $150,000","No","Slightly Uncomfortable",1658154550.1967,"06bd90e736b7fa0fc5e020f2054f08e5","Professional degree","Democratic","Very Liberal","No","MD","No","N/A",1658154571.53221
"5","Hispanic","Female",29,"More than $150,000","No","Slightly Uncomfortable",1658154550.1967,"06bd90e736b7fa0fc5e020f2054f08e5","Professional degree","Democratic","Very Liberal","No","MD","No","N/A",1658154731.73558
"6","White","Male",38,"$20,000 - $29,999","Yes","Slightly Comfortable",1658154671.24847,"ede71e6d5f864ccc40b9d6322772c0b2","Some college","Democratic","Very Liberal","Yes","FL","No","N/A",1658154684.77565
"7","Hispanic","Female",NA,"More than $150,000","No","Slightly Uncomfortable",1658154716.1933,"06bd90e736b7fa0fc5e020f2054f08e5","Professional degree","Democratic","Very Liberal","No","MD","No","N/A",1658154571.53221
"8","Hispanic","Female",NA,"More than $150,000","No","Slightly Uncomfortable",1658154716.1933,"06bd90e736b7fa0fc5e020f2054f08e5","Professional degree","Democratic","Very Liberal","No","MD","No","N/A",1658154731.73558
"9","White","Male",38,"$100,000 - $149,999","No","Slightly Uncomfortable",1658154975.81494,"8ff768f197ccc0252879f6b2beb90c07","4 year degree","Democratic","Very Conservative","No","MI","No","N/A",1658155007.29498
"10","White","Male",38,"$100,000 - $149,999","No","Slightly Uncomfortable",1658154975.81494,"8ff768f197ccc0252879f6b2beb90c07","4 year degree","Democratic","Very Conservative","No","MI","No","N/A",1658155678.507
"11","American Indian or Alaska Native","Female",29,"$30,000 - $39,999","No","Extremely Uncomfortable",1658155096.65236,"e9a6a97d9a8a91a4b682dd7329ae25eb","4 year degree","Democratic","Very Liberal","No","WI","No","N/A",1658155113.87574
"12","White","Male",35,"$60,000 - $69,999","No","Neither Comfortable nor Uncomfortable",1658155208.87589,"062f1fb0c619e69b69fd08bfb2bf3085","High school graduate","Republican","Somewhat Conservative","Yes","UT","No","N/A",1658155250.09502
"13","White","Male",35,"$60,000 - $69,999","No","Neither Comfortable nor Uncomfortable",1658155208.87589,"062f1fb0c619e69b69fd08bfb2bf3085","High school graduate","Republican","Somewhat Conservative","Yes","UT","No","N/A",1658156048.81425
"14","White","Female",57,"$90,000 - $99,999","Yes","Extremely Uncomfortable",1658155288.49114,"67aa1e9b1498ce5be88a400f84c03109","2 year degree","No consistent preference","Somewhat Conservative","No","FL","Yes","Yes",1658155310.56881
"15","Black or African American","Female",38,"$20,000 - $29,999","No","Slightly Uncomfortable",1658155291.88662,"e38f2811b8da98348c9540973d62ba7f","High school graduate","Democratic","Somewhat Liberal","No","NC","No","N/A",1658155331.81733
"16","White","Female",20,"$100,000 - $149,999","No","Extremely Uncomfortable",1658155310.6883,"1cab966fb3dc150c4c65693ef5e71ca5","Some college","Democratic","Very Liberal","Yes","MA","No","N/A",1658155325.63734
"17","White","Female",61,"$100,000 - $149,999","No","Slightly Uncomfortable",1658155314.13693,"84d1eb12361a30d66a02c779e6d01613","4 year degree","Democratic","Very Liberal","No","NY","No","N/A",1658155333.50806
"18","White","Male",19,"$100,000 - $149,999","No","Slightly Comfortable",1658155343.01484,"609422e9d3254f6bd03046a61803f861","High school graduate","Republican","Somewhat Liberal","No","TX","No","N/A",1658155377.39568
"19","White","Female",37,"$60,000 - $69,999","Yes","Slightly Comfortable",1658155360.02989,"b4f0fd448b1309ea55a85b72b9355497","Some college","No consistent preference","Somewhat Conservative","No","LA","No","N/A",1658155390.29793
"20","White, Asian","Male",33,"More than $150,000","No","Moderately Comfortable",1658155376.56594,"99e75bff8ae9af9101b5ca3a8442b5d4","Some college","Democratic","Somewhat Liberal","Yes","FL","Yes","No",1658155463.21942
"21","White","Female",59,"$90,000 - $99,999","Yes","Slightly Comfortable",1658155458.2611,"e21e063dd5e7b72cb985d49d4252424a","Some college","No consistent preference","Somewhat Conservative","Yes","OH","No","N/A",1658155490.95031
"22","White","Female",NA,"Less than $10,000","No","Neither Comfortable nor Uncomfortable",1658155483.72591,"770ba921ab011e852867c4102d01561d","High school graduate","Republican","Somewhat Conservative","Yes","GA","No","N/A",1658155524.22458
"23","White","Male",39,"$100,000 - $149,999","No","Slightly Uncomfortable",1658155659.78282,"8ff768f197ccc0252879f6b2beb90c07","4 year degree","Democratic","Very Conservative","No","MI","No","N/A",1658155007.29498
"24","White","Male",39,"$100,000 - $149,999","No","Slightly Uncomfortable",1658155659.78282,"8ff768f197ccc0252879f6b2beb90c07","4 year degree","Democratic","Very Conservative","No","MI","No","N/A",1658155678.507
"25","White","Male",35,"$60,000 - $69,999","No","Neither Comfortable nor Uncomfortable",1658156025.59357,"062f1fb0c619e69b69fd08bfb2bf3085","High school graduate","Republican","Somewhat Conservative","Yes","UT","No","N/A",1658155250.09502
"26","White","Male",35,"$60,000 - $69,999","No","Neither Comfortable nor Uncomfortable",1658156025.59357,"062f1fb0c619e69b69fd08bfb2bf3085","High school graduate","Republican","Somewhat Conservative","Yes","UT","No","N/A",1658156048.81425
"27","White","Female",58,"$20,000 - $29,999","No","Neither Comfortable nor Uncomfortable",1658253718.77491,"9cbc93f0247f91aef7f57a6c508dd3eb","Some college","Democratic","Somewhat Liberal","No","AZ","No","N/A",1658253738.21932
"28","White","Female",18,"$100,000 - $149,999","No","Extremely Uncomfortable",1658253817.48319,"a275779ae0a24a4d9167bf0804e8f236","Some college","Democratic","Very Liberal","No","MA","No","N/A",1658253836.92211
"29","White","Female",27,"More than $150,000","No","Slightly Uncomfortable",1658253860.20428,"d562ff5e58b6b2ef316df7f9fc386e08","4 year degree","Democratic","Very Liberal","No","TX","No","N/A",1658253883.47915
"30","White","Male",29,"$100,000 - $149,999","Yes","Extremely Comfortable",1658254034.33836,"969e9c60f262eef074d4c3f8fcc84ced","4 year degree","No consistent preference","Middle of the Road","No","NY","No","N/A",1658254048.78562
"31","White","Female",55,"$40,000 - $49,999","Yes","Moderately Comfortable",1658254272.23574,"501dc94d79deb9d07c3176258bd27acc","Some college","No consistent preference","Somewhat Conservative","No","AZ","No","N/A",1658254296.55099
"32","White","Male",35,"$80,000 - $89,999","No","Slightly Uncomfortable",1658254367.14364,"141576d43808479b2c257f0c4484a7f5","Professional degree","Democratic","Very Liberal","Yes","CT","No","N/A",1658254392.60757
"33","Black or African American","Male",20,"$30,000 - $39,999","No","Slightly Uncomfortable",1658254517.84545,"9330bd66d0ad930e012aba0d34d18447","High school graduate","No consistent preference","Middle of the Road","Yes","NY","No","N/A",1658254551.94705
"34","White","Male",27,"$10,000 - $19,999","No","Slightly Comfortable",1658254687.19504,"0db40b4cf90889876e0df6585988fbd3","Some college","Republican","Middle of the Road","Yes","IL","No","N/A",1658254729.86755
