"","guilty","strength","gunstrength","probability","gunprob","check1","firetestcred","algtestcred","overrel","examrel","algrel","examsci","oversci","algsci","expunder","algunder","mistakes","firerel","check2","firesci","unique","harm","time","scenario_number","fingerprint","algorithm","picture","conclusion","typos"
"1","No","1 <br/> Not at all strong","1 <br/> Not at all strong",5,5,"9mm","Extremely credible","Extremely credible","Weakly reliable","Extremely reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658154867.36735,12,"d10db9594b64970464d5f0c856c8d788","Yes","Yes","NoMatch","Uncorrected"
"2","No","2.0","4.0",30,50,"9mm","Extremely credible","Extremely credible","Weakly reliable","Extremely reliable","Neither reliable nor unreliable","Weakly scientific","Moderately unscientific","Moderately unscientific","5 <br/> I understood everything","5 <br/> I understood everything","Sometimes","Weakly reliable","Moderately reliable","Neither scientific nor unscientific","Yes","The errors are equally bad",1658155095.57149,11,"117898516328799a034d49d4c816facf","Yes","Yes","Inconclusive","Uncorrected"
"3","No","1 <br/> Not at all strong","1 <br/> Not at all strong",10,10,"9mm","Weakly credible","Weakly credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","4.0","Occasionally","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658155357.04321,8,"ede71e6d5f864ccc40b9d6322772c0b2","Yes","No","Inconclusive","Uncorrected"
"4","No","7.0","7.0",77,77,"22mm","Extremely credible","Extremely credible","Moderately reliable","Extremely reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","2.0","2.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658156528.71476,11,"062f1fb0c619e69b69fd08bfb2bf3085","Yes","Yes","Inconclusive","Uncorrected"
"5","Yes","7.0","8.0",80,86,"9mm","Moderately credible","Extremely credible","Moderately reliable","Extremely reliable","Extremely reliable","Extremely scientific","Moderately scientific","Extremely scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658157233.52976,11,"8ff768f197ccc0252879f6b2beb90c07","Yes","Yes","Inconclusive","Uncorrected"
"6","Yes","5 <br/> Moderately strong","6.0",90,74,"9mm","Moderately credible","Moderately credible","Weakly reliable","Moderately reliable","Moderately reliable","Moderately scientific","Weakly scientific","Weakly scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658159108.70111,9,"e38f2811b8da98348c9540973d62ba7f","Yes","No","NoMatch","Uncorrected"
"7","Yes","5 <br/> Moderately strong","9 <br/> Extremely strong",50,89,"9mm","Moderately credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658254570.8388,9,"a275779ae0a24a4d9167bf0804e8f236","Yes","No","NoMatch","Uncorrected"
"8","No","1 <br/> Not at all strong","1 <br/> Not at all strong",0,0,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658254588.1378,9,"969e9c60f262eef074d4c3f8fcc84ced","Yes","No","NoMatch","Uncorrected"
"9","No","1 <br/> Not at all strong","1 <br/> Not at all strong",5,0,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","3 <br/> I understood about half of the method","Occasionally","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658255218.7543,12,"d562ff5e58b6b2ef316df7f9fc386e08","Yes","Yes","NoMatch","Uncorrected"
"10","Yes","6.0","8.0",80,86,"9mm","Moderately credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","3 <br/> I understood about half of the method","4.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658255691.99818,7,"9330bd66d0ad930e012aba0d34d18447","Yes","No","Match","Uncorrected"
"11","No","1 <br/> Not at all strong","1 <br/> Not at all strong",5,3,"9mm","Moderately credible","Moderately credible","Moderately reliable","Weakly reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","4.0","Occasionally","Weakly reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658255753.27444,12,"e6728936c5942ea8b00fbb91aa49a04d","Yes","Yes","NoMatch","Uncorrected"
"12","No","3.0","4.0",35,40,"9mm","Moderately credible","Moderately credible","Weakly reliable","Moderately reliable","Weakly reliable","Moderately scientific","Weakly scientific","Moderately scientific","4.0","3 <br/> I understood about half of the method","Occasionally","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658258785.79596,11,"0c17d92cac6c75a78c4667cd1dff541a","Yes","Yes","Inconclusive","Uncorrected"
"13","No","3.0","4.0",56,29,"9mm","Extremely credible","Moderately credible","Weakly reliable","Moderately reliable","Weakly reliable","Moderately scientific","Moderately scientific","Weakly scientific","4.0","4.0","Sometimes","Weakly reliable","Moderately reliable","Weakly scientific","Yes","The errors are equally bad",1658258925.95404,8,"0f6958f94e28af4547782f4c0e41a030","Yes","No","Inconclusive","Uncorrected"
"14","No","1 <br/> Not at all strong","1 <br/> Not at all strong",10,0,"9mm","Extremely credible","Extremely credible","Moderately reliable","Extremely reliable","Moderately reliable","Extremely scientific","Moderately scientific","Extremely scientific","5 <br/> I understood everything","4.0","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658259731.78382,12,"6903919fbe8f64dd2f218efa939e82a0","Yes","Yes","NoMatch","Uncorrected"
"15","Yes","9 <br/> Extremely strong","9 <br/> Extremely strong",96,97,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658260127.13999,7,"48d5b309f8bd4fa44a445526c7ef0e04","Yes","No","Match","Uncorrected"
"16","Yes","8.0","9 <br/> Extremely strong",90,95,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","3 <br/> I understood about half of the method","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658260143.18661,10,"f8d3d4bab591ebab55a2825b09f1f9ee","Yes","Yes","Match","Uncorrected"
"17","Yes","8.0","9 <br/> Extremely strong",95,90,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Extremely scientific","Extremely scientific","Extremely scientific","3 <br/> I understood about half of the method","4.0","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Failing to convict a guilty person",1658260172.86089,7,"125d542be0219f7a6d2b3550b44643b0","Yes","No","Match","Uncorrected"
"18","No","1 <br/> Not at all strong","1 <br/> Not at all strong",10,10,"9mm","Moderately credible","Moderately credible","Moderately reliable","Moderately reliable","Moderately reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658260575.88466,9,"202872a7d2221e4fbf3a56ee50560c90","Yes","No","NoMatch","Uncorrected"
"19","No","4.0","4.0",38,40,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Weakly scientific","Moderately scientific","Extremely scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Sometimes","Neither reliable nor unreliable","Moderately reliable","Weakly scientific","Yes","The errors are equally bad",1658260924.55288,11,"aedf41d98c43d093098e5448b0ba6d4b","Yes","Yes","Inconclusive","Uncorrected"
"20","No","2.0","2.0",10,10,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658261436.45631,9,"11aad27692ae89543370f32a6099648a","Yes","No","NoMatch","Uncorrected"
"21","No","2.0","1 <br/> Not at all strong",10,3,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658261619.39255,12,"d09211266441c518bef8f34d4b337304","Yes","Yes","NoMatch","Uncorrected"
"22","No","4.0","8.0",50,86,"9mm","Moderately credible","Extremely credible","Moderately reliable","Moderately reliable","Weakly unreliable","Weakly scientific","Moderately scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Occasionally","Weakly reliable","Moderately reliable","Weakly scientific","Yes","The errors are equally bad",1658261744.08244,10,"d0336070883b6c9cc1392f6d1ed59335","Yes","Yes","Match","Uncorrected"
"24","No","2.0","2.0",30,50,"9mm","Moderately noncredible","Moderately credible","Moderately unreliable","Weakly unreliable","Moderately unreliable","Weakly unscientific","Neither scientific nor unscientific","Neither scientific nor unscientific","4.0","4.0","Occasionally","Weakly reliable","Moderately unreliable","Weakly unscientific","Yes","Erroneously convicting an innocent person",1658262238.95566,8,"8d503b40d1f9c052b642f728ccfe5899","Yes","No","Inconclusive","Uncorrected"
"25","Yes","8.0","8.0",90,95,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","5 <br/> I understood everything","4.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658262409.42151,10,"f9645c793422817cac8599970c07826e","Yes","Yes","Match","Uncorrected"
"26","No","4.0","2.0",30,20,"9mm","Moderately credible","Moderately credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658263457.1286,12,"9f4e5eadc4b79616d03d4e3319a14f28","Yes","Yes","NoMatch","Uncorrected"
"27","No","1 <br/> Not at all strong","1 <br/> Not at all strong",1,1,"9mm","Moderately credible","Moderately credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","4.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658264035.74079,9,"5686dfb8bdfb2301bf532777a3dbf6f8","Yes","No","NoMatch","Uncorrected"
"28","No","3.0","2.0",20,10,"9mm","Moderately credible","Extremely credible","Moderately reliable","Moderately reliable","Extremely reliable","Moderately scientific","Moderately scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Occasionally","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658264281.41495,9,"0a828fd9bf5b06268cb0956fa65540ef","Yes","No","NoMatch","Uncorrected"
"29","No","2.0","3.0",36,28,"9mm","Moderately credible","Extremely credible","Moderately unreliable","Moderately reliable","Weakly reliable","Extremely scientific","Weakly unscientific","Moderately scientific","5 <br/> I understood everything","4.0","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658264334.18048,8,"6a69f12f408bd9072b710c1f7e597d18","Yes","No","Inconclusive","Uncorrected"
"30","No","5 <br/> Moderately strong","4.0",52,50,"9mm","Moderately credible","Moderately credible","Neither reliable nor unreliable","Moderately reliable","Weakly unreliable","Moderately scientific","Moderately scientific","Moderately scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Occasionally","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658264615.08505,12,"e326dec83876cc652a052c9446456a8f","Yes","Yes","NoMatch","Uncorrected"
"31","No","1 <br/> Not at all strong","1 <br/> Not at all strong",0,0,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658264633.9485,12,"a8885c7adfbb50f00244ac9080242f2a","Yes","Yes","NoMatch","Uncorrected"
"32","No","2.0","1 <br/> Not at all strong",10,3,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Weakly scientific","Moderately scientific","Moderately scientific","4.0","4.0","Occasionally","Weakly reliable","Moderately reliable","Neither scientific nor unscientific","Yes","Erroneously convicting an innocent person",1658264668.35031,9,"55ab680aba68335910fe4fb0bebc28cc","Yes","No","NoMatch","Uncorrected"
"33","Yes","7.0","8.0",89,86,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658265028.44824,7,"681b0cca4e172925406035b3f143da03","Yes","No","Match","Uncorrected"
"34","No","1 <br/> Not at all strong","2.0",16,20,"9mm","Moderately credible","Moderately credible","Neither reliable nor unreliable","Moderately reliable","Neither reliable nor unreliable","Neither scientific nor unscientific","Moderately scientific","Neither scientific nor unscientific","3 <br/> I understood about half of the method","2.0","Sometimes","Weakly reliable","Moderately reliable","Weakly scientific","Yes","Erroneously convicting an innocent person",1658265047.05339,9,"6e698ada041accf4dce470bafedb968b","Yes","No","NoMatch","Uncorrected"
"35","No","1 <br/> Not at all strong","1 <br/> Not at all strong",1,0,"9mm","Extremely credible","Extremely credible","Moderately reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658265808.9964,9,"f565a85fe5ae914efc16bf6c57ecc46c","Yes","No","NoMatch","Uncorrected"
"36","No","8.0","9 <br/> Extremely strong",80,96,"9mm","Extremely credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658265861.36887,10,"a858f2458427b64d0ac24dc6b5d32a14","Yes","Yes","Match","Uncorrected"
"37","No","1 <br/> Not at all strong","2.0",4,8,"9mm","Moderately credible","Extremely credible","Moderately reliable","Moderately reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658266134.20332,9,"9f054c84565831f09c62d9d97963b713","Yes","No","NoMatch","Uncorrected"
"38","No","5 <br/> Moderately strong","5 <br/> Moderately strong",50,50,"9mm","Neither credible nor noncredible","Extremely credible","Neither reliable nor unreliable","Neither reliable nor unreliable","Weakly unreliable","Moderately scientific","Moderately scientific","Neither scientific nor unscientific","5 <br/> I understood everything","5 <br/> I understood everything","Sometimes","Neither reliable nor unreliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658266164.08376,8,"0aac432da11f3e6d5656eb7bfada1861","Yes","No","Inconclusive","Uncorrected"
"39","No","1 <br/> Not at all strong","2.0",8,2,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658266233.09879,9,"3e5cbed69173c3298611593ccc4cf01f","Yes","No","NoMatch","Uncorrected"
"41","Yes","7.0","7.0",75,70,"9mm","Extremely credible","Moderately credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","4.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658266963.06773,7,"afa11007660b1c4569366e5ce840acfd","Yes","No","Match","Uncorrected"
"42","No","2.0","2.0",20,20,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","4.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658267226.09383,8,"2d20250f085c82eed95b17a1825ca080","Yes","No","Inconclusive","Uncorrected"
