"","race","gender","age","income","gunown","guncomfort","time.x","conclusion.x","random_number","actual_time1","educ","vote","poli","arrest","state","jury","jurycrim","time.y","conclusion.y","actual_time2","guilty","strength","prob_hide","check","guilt_free_num","guilt_free_denom","innocent_free_num","innocent_free_denom","prob_vis","guilt_bet","innocent_bet","fixed_like","time.x.x","conclusion.x.x","page_count","opinion_guilt","open_info","actual_time3","order","time.y.y","conclusion.y.y","clean_prints","clean_id"
"1","Asian","Male","36 - 45","$80,000 - $89,999","No","Extremely Uncomfortable",1684341354.53293,"Match",0.321015450172126,"2023-05-17 11:35:54","4 year degree","Republican","Somewhat Conservative","No","CA","Yes","No",1684341381.60724,"Match","2023-05-17 11:36:21","No","3",96,"9mm",NA,NA,50,100,97,50,NA,"1 chance in 2 (fifty-fifty chance)",1684341844.65887,"Match",24,"Yes","he is very good at what he is doing.","2023-05-17 11:44:04",7346215,1684341771.98675,"Match",175,133
"2","Hispanic","Female","26 - 35","$90,000 - $99,999","No","Moderately Comfortable",1684341376.68622,"Match",0.867856109980494,"2023-05-17 11:36:16","Some college","No consistent preference","Middle of the Road","No","CA","No","N/A",1684341393.43237,"Match","2023-05-17 11:36:33","Yes","8",95,"22mm",NA,NA,1,100,95,45,NA,"About 1 chance in 1,000",1684342060.78145,"Match",24,"Yes","That he is guilty. ","2023-05-17 11:47:40",2641573,1684341967.45154,"Match",100,203
"3","White, American Indian or Alaska Native","Male","18 - 25","$40,000 - $49,999","No","Moderately Comfortable",1684341460.55012,"NoMatch",0.450860647018999,"2023-05-17 11:37:40","Some college","Democratic","Very Liberal","No","MO","No","N/A",1684341479.26167,"NoMatch","2023-05-17 11:37:59","No","1 <br/> Not at all strong",2,"9mm",1,10000,NA,NA,3,NA,50,"About 1 chance in 10,000",1684342340.00248,"NoMatch",24,"No","I believe the defendant to be not guilty.","2023-05-17 11:52:20",6347215,1684342278.57909,"NoMatch",168,220
"4","White","Female","46 - 55","$100,000 - $149,999","No","Slightly Comfortable",1684341519.54008,"Match",0.909524242626503,"2023-05-17 11:38:39","Doctorate","Republican","Somewhat Conservative","No","TX","No","N/A",1684341547.82846,"Match","2023-05-17 11:39:07","No","4",50,"9mm",1,2,NA,NA,50,NA,25,"1 chance in 2 (fifty-fifty chance)",1684342343.59894,"Match",24,"No","innocent until proven guilty. i have several questions regarding the process and am still unsure that richard xcole was the perpetrator","2023-05-17 11:52:23",3467125,1684342246.68882,"Match",142,147
"5","White","Male","26 - 35","$40,000 - $49,999","Yes","Moderately Comfortable",1684341957.05972,"Match",0.400937285972759,"2023-05-17 11:45:57","4 year degree","Republican","Very Conservative","No","IN","No","N/A",1684341972.34046,"Match","2023-05-17 11:46:12","No","5 <br/> Moderately strong",50,"9mm",50,100,NA,NA,50,NA,25,"1 chance in 2 (fifty-fifty chance)",1684342615.506,"Match",24,"No","I don't know if it's conclusive information to say he did it. ","2023-05-17 11:56:55",6271345,1684342471.77964,"Match",107,25
"6","Hispanic","Male","26 - 35","$50,000 - $59,999","No","Neither Comfortable nor Uncomfortable",1684346381.42241,"NoMatch",0.646502702496946,"2023-05-17 12:59:41","Some college","Democratic","Somewhat Liberal","No","CA","No","N/A",1684346394.42632,"NoMatch","2023-05-17 12:59:54","No","1 <br/> Not at all strong",3,"9mm",1,36,NA,NA,3,NA,50,"About 1 chance in 100",1684346909.59945,"NoMatch",24,"No","I don't think they fired the bullet ","2023-05-17 13:08:29",5261437,1684346853.32652,"NoMatch",62,26
"7","White","Female","26 - 35","$10,000 - $19,999","No","Moderately Comfortable",1684347218.86036,"NoMatch",0.92570443241857,"2023-05-17 13:13:38","2 year degree","No consistent preference","Middle of the Road","No","NY","No","N/A",1684347246.02925,"NoMatch","2023-05-17 13:14:06","No","2",4,"9mm",1,1000,NA,NA,1,NA,25,"About 1 chance in 10,000",1684347680.64921,"NoMatch",24,"No","he might be innocent ","2023-05-17 13:21:20",3675124,1684347627.07435,"NoMatch",18,85
"8","Asian","Male","36 - 45","$70,000 - $79,999","No","Slightly Uncomfortable",1684350980.69056,"NoMatch",0.311815888620913,"2023-05-17 14:16:20","4 year degree","Republican","Somewhat Conservative","No","NY","No","N/A",1684351005.38859,"NoMatch","2023-05-17 14:16:45","No","3",72,"9mm",NA,NA,1,4,80,30,NA,"1 chance in 2 (fifty-fifty chance)",1684352306.29516,"NoMatch",24,"Yes","I think that it's a toss up. The defendant is in a good position due to the expert testimony. Therefore, I feel indecisive. I think Richard Cole did do what he is being charged with but there might be a lack of evidence. ","2023-05-17 14:38:26",7524316,1684352201.8732,"NoMatch",105,155
"9","White","Male","26 - 35","$50,000 - $59,999","No","Extremely Comfortable",1684436856.09776,"NoMatch",0.962653555674478,"2023-05-18 14:07:36","High school graduate","Republican","Very Conservative","No","TX","No","N/A",1684436861.07592,"NoMatch","2023-05-18 14:07:41","No","4",25,"9mm",1,10000,NA,NA,4,NA,50,"About 1 chance in 10,000",1684437502.12346,"NoMatch",24,"No","i feel like not sure but i geuss his innocence was proved","2023-05-18 14:18:22",5473126,1684436856.1093,"NoMatch",172,114
"10","White","Male","26 - 35","$40,000 - $49,999","No","Extremely Uncomfortable",1684440089.82462,"Match",0.245993345743045,"2023-05-18 15:01:29","4 year degree","Democratic","Very Liberal","No","MN","No","N/A",1684440114.49916,"Match","2023-05-18 15:01:54","No","4",66,"9mm",NA,NA,3,10,65,15,NA,"About 9 chances in 10",1684440822.85603,"Match",24,"Yes","I think he is most likely guilty, but there is still some doubt. The gun that was used during the attempted robbery was found in his car, but that doesn't necessarily mean he was the person who tried to rob the store. The gun could have been planted, or he could have been a getaway driver.","2023-05-18 15:13:42",7631245,1684440089.83422,"Match",233,115
