"","X","page","time","randomnumber","start_time","notes","conclusion","clean_prints","length","nchar_notes","edit_distance","clean_length","normal_outlier","mean","sd","outlier_bin","lcs_notes","page_notes"
"1",1,4,1706123856.54699,19.2837120499462,1706123797.37717,"","NoMatch",131,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,5,1706123896.61404,19.2837120499462,1706123797.37717,"Richard Cole (defendant) - charged w/ wilfully discharging a firearm in a place of business. This crime is a felony. 

pleaded not guilty

","NoMatch",131,139,"Richard Cole (defendant) - charged w/ wilfully discharging a firearm in a place of business. This crime is a felony. 

pleaded not guilty

",0,139,266.940399458055,35.2707006369427,57.9174247052782,FALSE,NA,"Richard Cole (defendant) - charged w/ wilfully discharging a firearm in a place of business. This crime is a felony. 

pleaded not guilty

"
"3",3,6,1706123928.2164,19.2837120499462,1706123797.37717,"Richard Cole (defendant) - charged w/ wilfully discharging a firearm in a place of business. This crime is a felony. pleaded not guilty


Police received a 911 call from a convenience store clerk stating that a man had entered the store, pulled out a firearm, fired a shot into the ceiling, and then demanded money. The man ended up leaving the store without receiving any money and no one was hurt by the gunshot.

The store clerk took the stand and stated that she did not get a close enough look at the robber's face to make an identification, because the robber wore a ski mask.

As the cashier was pulling out the money to hand to him, she pressed a hidden button that activated an alarm and called the police. Startled by the alarm bells, the robber rushed out of the store.

Next, the detective testified that he arrived at the convenience store and interviewed the clerk. The detective recovered the 9mm bullet from the ceiling of the store, which was collected for forensic analysis.

Two days later, a police officer pulled over Richard Cole for speeding. During a search of the Defendant's vehicle, the detective located a 9mm handgun, which was legally licensed to the Defendant. Because this gun was the same caliber as the one used in the convenience store shooting, it was confiscated for testing. Richard Cole was subsequently arrested and charged with willfully discharging a firearm in a place of business. 
","NoMatch",131,1426,"olice received a 911 call from a convenience store clerk stating that a man had entered the store, pulled out a firearm, fired a shot into the ceiling, and then demanded money. The man ended up leaving the store without receiving any money and no one was hurt by the gunshot.

The store clerk took the stand and stated that she did not get a close enough look at the robber's face to make an identification, because the robber wore a ski mask.

As the cashier was pulling out the money to hand to him, she pressed a hidden button that activated an alarm and called the police. Startled by the alarm bells, the robber rushed out of the store.

Next, the detective testified that he arrived at the convenience store and interviewed the clerk. The detective recovered the 9mm bullet from the ceiling of the store, which was collected for forensic analysis.

Two days later, a police officer pulled over Richard Cole for speeding. During a search of the Defendant's vehicle, the detective located a 9mm handgun, which was legally licensed to the Defendant. Because this gun was the same caliber as the one used in the convenience store shooting, it was confiscated for testing. Richard Cole was subsequently arrested and charged with willfully discharging a firearm in a place of business. 
",4,1287,1132.80513953521,120.201277955272,253.150965394985,TRUE,"olice received a 911 call from a convenience store clerk stating that a man had entered the store, pulled out a firearm, fired a shot into the ceiling, and then demanded money. The man ended up leaving the store without receiving any money and no one was hurt by the gunshot.

The store clerk took the stand and stated that she did not get a close enough look at the robber's face to make an identification, because the robber wore a ski mask.

As the cashier was pulling out the money to hand to him, she pressed a hidden button that activated an alarm and called the police. Startled by the alarm bells, the robber rushed out of the store.

Next, the detective testified that he arrived at the convenience store and interviewed the clerk. The detective recovered the 9mm bullet from the ceiling of the store, which was collected for forensic analysis.

Two days later, a police officer pulled over Richard Cole for speeding. During a search of the Defendant's vehicle, the detective located a 9mm handgun, which was legally licensed to the Defendant. Because this gun was the same caliber as the one used in the convenience store shooting, it was confiscated for testing. Richard Cole was subsequently arrested and charged with wil
","olice received a 911 call from a convenience store clerk stating that a man had entered the store, pulled out a firearm, fired a shot into the ceiling, and then demanded money. The man ended up leaving the store without receiving any money and no one was hurt by the gunshot.

The store clerk took the stand and stated that she did not get a close enough look at the robber's face to make an identification, because the robber wore a ski mask.

As the cashier was pulling out the money to hand to him, she pressed a hidden button that activated an alarm and called the police. Startled by the alarm bells, the robber rushed out of the store.

Next, the detective testified that he arrived at the convenience store and interviewed the clerk. The detective recovered the 9mm bullet from the ceiling of the store, which was collected for forensic analysis.

Two days later, a police officer pulled over Richard Cole for speeding. During a search of the Defendant's vehicle, the detective located a 9mm handgun, which was legally licensed to the Defendant. Because this gun was the same caliber as the one used in the convenience store shooting, it was confiscated for testing. Richard Cole was subsequently arrested and charged with wil
"
"4",4,7,1706123930.84691,19.2837120499462,1706123797.37717,"Richard Cole (defendant) - charged w/ wilfully discharging a firearm in a place of business. This crime is a felony. pleaded not guilty


Police received a 911 call from a convenience store clerk stating that a man had entered the store, pulled out a firearm, fired a shot into the ceiling, and then demanded money. The man ended up leaving the store without receiving any money and no one was hurt by the gunshot.

The store clerk took the stand and stated that she did not get a close enough look at the robber's face to make an identification, because the robber wore a ski mask.

As the cashier was pulling out the money to hand to him, she pressed a hidden button that activated an alarm and called the police. Startled by the alarm bells, the robber rushed out of the store.

Next, the detective testified that he arrived at the convenience store and interviewed the clerk. The detective recovered the 9mm bullet from the ceiling of the store, which was collected for forensic analysis.

Two days later, a police officer pulled over Richard Cole for speeding. During a search of the Defendant's vehicle, the detective located a 9mm handgun, which was legally licensed to the Defendant. Because this gun was the same caliber as the one used in the convenience store shooting, it was confiscated for testing. Richard Cole was subsequently arrested and charged with willfully discharging a firearm in a place of business. 
","NoMatch",131,1426,"",0,0,703.528374284891,40.2916666666667,165.809176904556,FALSE,NA,""
"5",5,8,1706123937.89151,19.2837120499462,1706123797.37717,"Richard Cole (defendant) - charged w/ wilfully discharging a firearm in a place of business. This crime is a felony. pleaded not guilty


Police received a 911 call from a convenience store clerk stating that a man had entered the store, pulled out a firearm, fired a shot into the ceiling, and then demanded money. The man ended up leaving the store without receiving any money and no one was hurt by the gunshot.

The store clerk took the stand and stated that she did not get a close enough look at the robber's face to make an identification, because the robber wore a ski mask.

As the cashier was pulling out the money to hand to him, she pressed a hidden button that activated an alarm and called the police. Startled by the alarm bells, the robber rushed out of the store.

Next, the detective testified that he arrived at the convenience store and interviewed the clerk. The detective recovered the 9mm bullet from the ceiling of the store, which was collected for forensic analysis.

Two days later, a police officer pulled over Richard Cole for speeding. During a search of the Defendant's vehicle, the detective located a 9mm handgun, which was legally licensed to the Defendant. Because this gun was the same caliber as the one used in the convenience store shooting, it was confiscated for testing. Richard Cole was subsequently arrested and charged with willfully discharging a firearm in a place of business. 
","NoMatch",131,1426,"",0,0,111.880144059498,4.42948717948718,26.8626642200028,FALSE,NA,""
"6",6,9,1706123984.66349,19.2837120499462,1706123797.37717,"Richard Cole (defendant) - charged w/ wilfully discharging a firearm in a place of business. This crime is a felony. pleaded not guilty


Police received a 911 call from a convenience store clerk stating that a man had entered the store, pulled out a firearm, fired a shot into the ceiling, and then demanded money. The man ended up leaving the store without receiving any money and no one was hurt by the gunshot.

The store clerk took the stand and stated that she did not get a close enough look at the robber's face to make an identification, because the robber wore a ski mask.

As the cashier was pulling out the money to hand to him, she pressed a hidden button that activated an alarm and called the police. Startled by the alarm bells, the robber rushed out of the store.

Next, the detective testified that he arrived at the convenience store and interviewed the clerk. The detective recovered the 9mm bullet from the ceiling of the store, which was collected for forensic analysis.

Two days later, a police officer pulled over Richard Cole for speeding. During a search of the Defendant's vehicle, the detective located a 9mm handgun, which was legally licensed to the Defendant. Because this gun was the same caliber as the one used in the convenience store shooting, it was confiscated for testing. Richard Cole was subsequently arrested and charged with willfully discharging a firearm in a place of business. 
","NoMatch",131,1426,"",0,0,657.872301123405,41.9292604501608,153.985760168311,FALSE,NA,""
"7",7,10,1706123998.85531,19.2837120499462,1706123797.37717,"Richard Cole (defendant) - charged w/ wilfully discharging a firearm in a place of business. This crime is a felony. pleaded not guilty


Police received a 911 call from a convenience store clerk stating that a man had entered the store, pulled out a firearm, fired a shot into the ceiling, and then demanded money. The man ended up leaving the store without receiving any money and no one was hurt by the gunshot.

The store clerk took the stand and stated that she did not get a close enough look at the robber's face to make an identification, because the robber wore a ski mask.

As the cashier was pulling out the money to hand to him, she pressed a hidden button that activated an alarm and called the police. Startled by the alarm bells, the robber rushed out of the store.

Next, the detective testified that he arrived at the convenience store and interviewed the clerk. The detective recovered the 9mm bullet from the ceiling of the store, which was collected for forensic analysis.

Two days later, a police officer pulled over Richard Cole for speeding. During a search of the Defendant's vehicle, the detective located a 9mm handgun, which was legally licensed to the Defendant. Because this gun was the same caliber as the one used in the convenience store shooting, it was confiscated for testing. Richard Cole was subsequently arrested and charged with willfully discharging a firearm in a place of business. 
","NoMatch",131,1426,"",0,0,936.779877093541,33.5144694533762,225.816351910041,FALSE,NA,""
"8",8,11,1706124033.34543,19.2837120499462,1706123797.37717,"Richard Cole (defendant) - charged w/ wilfully discharging a firearm in a place of business. This crime is a felony. pleaded not guilty


Police received a 911 call from a convenience store clerk stating that a man had entered the store, pulled out a firearm, fired a shot into the ceiling, and then demanded money. The man ended up leaving the store without receiving any money and no one was hurt by the gunshot.

The store clerk took the stand and stated that she did not get a close enough look at the robber's face to make an identification, because the robber wore a ski mask.

As the cashier was pulling out the money to hand to him, she pressed a hidden button that activated an alarm and called the police. Startled by the alarm bells, the robber rushed out of the store.

Next, the detective testified that he arrived at the convenience store and interviewed the clerk. The detective recovered the 9mm bullet from the ceiling of the store, which was collected for forensic analysis.

Two days later, a police officer pulled over Richard Cole for speeding. During a search of the Defendant's vehicle, the detective located a 9mm handgun, which was legally licensed to the Defendant. Because this gun was the same caliber as the one used in the convenience store shooting, it was confiscated for testing. Richard Cole was subsequently arrested and charged with willfully discharging a firearm in a place of business. 

I was asked to compare a bullet from the crime scene to a test fire from the gun recovered from the traffic stop.

 Yes. In the interior of a barrel there are raised portions called lands and depressed areas called grooves. When a bullet passes down the barrel, a bullet will spin and that gives it stability and accuracy over a distance. Those raised areas are designed by the manufacturer. They're cut into the barrel. And each particular file has a different combination of lands and grooves. But essentially what those lands do is grip a bullet and spin it, and as that bullet passes down the barrel, it scratches the random imperfections of that barrel into the bullet. 
 Yes. This bullet had six lands. And the interior of the barrel, the barrel will either twist right or it will twist left. And in this particular case, the barrel twists right. And you can see that by looking at the bullet. If you look at the base of the bullet, either it goes to the left or goes to the right. ","NoMatch",131,2415,"
I was asked to compare a bullet from the crime scene to a test fire from the gun recovered from the traffic stop.

 Yes. In the interior of a barrel there are raised portions called lands and depressed areas called grooves. When a bullet passes down the barrel, a bullet will spin and that gives it stability and accuracy over a distance. Those raised areas are designed by the manufacturer. They're cut into the barrel. And each particular file has a different combination of lands and grooves. But essentially what those lands do is grip a bullet and spin it, and as that bullet passes down the barrel, it scratches the random imperfections of that barrel into the bullet. 
 Yes. This bullet had six lands. And the interior of the barrel, the barrel will either twist right or it will twist left. And in this particular case, the barrel twists right. And you can see that by looking at the bullet. If you look at the base of the bullet, either it goes to the left or goes to the right. ",0,989,637.803167848742,35.8709677419355,150.483050026702,TRUE,"
I was asked to compare a bullet from the crime scene to a test fire from the gun recovered from the traffic stop.

 Yes. In the interior of a barrel there are raised portions called lands and depressed areas called grooves. When a bullet passes down the barrel, a bullet will spin and that gives it stability and accuracy over a distance. Those raised areas are designed by the manufacturer. They're cut into the barrel. And each particular file has a different combination of lands and grooves. But essentially what those lands do is grip a bullet and spin it, and as that bullet passes down the barrel, it scratches the random imperfections of that barrel into the bullet. 
 Yes. This bullet had six lands. And the interior of the barrel, the barrel will either twist right or it will twist left. And in this particular case, the barrel twists right. And you can see that by looking at the bullet. If you look at the base of the bullet, either it goes to the left or goes to the right. ","
I was asked to compare a bullet from the crime scene to a test fire from the gun recovered from the traffic stop.

 Yes. In the interior of a barrel there are raised portions called lands and depressed areas called grooves. When a bullet passes down the barrel, a bullet will spin and that gives it stability and accuracy over a distance. Those raised areas are designed by the manufacturer. They're cut into the barrel. And each particular file has a different combination of lands and grooves. But essentially what those lands do is grip a bullet and spin it, and as that bullet passes down the barrel, it scratches the random imperfections of that barrel into the bullet. 
 Yes. This bullet had six lands. And the interior of the barrel, the barrel will either twist right or it will twist left. And in this particular case, the barrel twists right. And you can see that by looking at the bullet. If you look at the base of the bullet, either it goes to the left or goes to the right. "
"9",9,5,1706124098.11553,67.6017088117078,1706123758.77487,"","NoMatch",1,0,"",0,0,266.940399458055,35.2707006369427,57.9174247052782,FALSE,NA,""
"10",10,6,1706124200.10163,67.6017088117078,1706123758.77487,"Richard Cole - has been charged with willfully discharging a firearm in a place of business - pleaded not guilty","NoMatch",1,112,"Richard Cole - has been charged with willfully discharging a firearm in a place of business - pleaded not guilty",0,112,1132.80513953521,120.201277955272,253.150965394985,FALSE,NA,"Richard Cole - has been charged with willfully discharging a firearm in a place of business - pleaded not guilty"
