"","page","time","randomnumber","start_time","notes","conclusion","clean_prints"
"1",4,"1706123856.54699",19.2837120499462,"1706123797.37717","","NoMatch",131
"2",5,"1706123896.61404",19.2837120499462,"1706123797.37717","Richard Cole (defendant) - charged w/ wilfully discharging a firearm in a place of business. This crime is a felony. 

pleaded not guilty

","NoMatch",131
"3",6,"1706123928.2164",19.2837120499462,"1706123797.37717","Richard Cole (defendant) - charged w/ wilfully discharging a firearm in a place of business. This crime is a felony. pleaded not guilty


Police received a 911 call from a convenience store clerk stating that a man had entered the store, pulled out a firearm, fired a shot into the ceiling, and then demanded money. The man ended up leaving the store without receiving any money and no one was hurt by the gunshot.

The store clerk took the stand and stated that she did not get a close enough look at the robber's face to make an identification, because the robber wore a ski mask.

As the cashier was pulling out the money to hand to him, she pressed a hidden button that activated an alarm and called the police. Startled by the alarm bells, the robber rushed out of the store.

Next, the detective testified that he arrived at the convenience store and interviewed the clerk. The detective recovered the 9mm bullet from the ceiling of the store, which was collected for forensic analysis.

Two days later, a police officer pulled over Richard Cole for speeding. During a search of the Defendant's vehicle, the detective located a 9mm handgun, which was legally licensed to the Defendant. Because this gun was the same caliber as the one used in the convenience store shooting, it was confiscated for testing. Richard Cole was subsequently arrested and charged with willfully discharging a firearm in a place of business. 
","NoMatch",131
"4",7,"1706123930.84691",19.2837120499462,"1706123797.37717","Richard Cole (defendant) - charged w/ wilfully discharging a firearm in a place of business. This crime is a felony. pleaded not guilty


Police received a 911 call from a convenience store clerk stating that a man had entered the store, pulled out a firearm, fired a shot into the ceiling, and then demanded money. The man ended up leaving the store without receiving any money and no one was hurt by the gunshot.

The store clerk took the stand and stated that she did not get a close enough look at the robber's face to make an identification, because the robber wore a ski mask.

As the cashier was pulling out the money to hand to him, she pressed a hidden button that activated an alarm and called the police. Startled by the alarm bells, the robber rushed out of the store.

Next, the detective testified that he arrived at the convenience store and interviewed the clerk. The detective recovered the 9mm bullet from the ceiling of the store, which was collected for forensic analysis.

Two days later, a police officer pulled over Richard Cole for speeding. During a search of the Defendant's vehicle, the detective located a 9mm handgun, which was legally licensed to the Defendant. Because this gun was the same caliber as the one used in the convenience store shooting, it was confiscated for testing. Richard Cole was subsequently arrested and charged with willfully discharging a firearm in a place of business. 
","NoMatch",131
"5",8,"1706123937.89151",19.2837120499462,"1706123797.37717","Richard Cole (defendant) - charged w/ wilfully discharging a firearm in a place of business. This crime is a felony. pleaded not guilty


Police received a 911 call from a convenience store clerk stating that a man had entered the store, pulled out a firearm, fired a shot into the ceiling, and then demanded money. The man ended up leaving the store without receiving any money and no one was hurt by the gunshot.

The store clerk took the stand and stated that she did not get a close enough look at the robber's face to make an identification, because the robber wore a ski mask.

As the cashier was pulling out the money to hand to him, she pressed a hidden button that activated an alarm and called the police. Startled by the alarm bells, the robber rushed out of the store.

Next, the detective testified that he arrived at the convenience store and interviewed the clerk. The detective recovered the 9mm bullet from the ceiling of the store, which was collected for forensic analysis.

Two days later, a police officer pulled over Richard Cole for speeding. During a search of the Defendant's vehicle, the detective located a 9mm handgun, which was legally licensed to the Defendant. Because this gun was the same caliber as the one used in the convenience store shooting, it was confiscated for testing. Richard Cole was subsequently arrested and charged with willfully discharging a firearm in a place of business. 
","NoMatch",131
"6",9,"1706123984.66349",19.2837120499462,"1706123797.37717","Richard Cole (defendant) - charged w/ wilfully discharging a firearm in a place of business. This crime is a felony. pleaded not guilty


Police received a 911 call from a convenience store clerk stating that a man had entered the store, pulled out a firearm, fired a shot into the ceiling, and then demanded money. The man ended up leaving the store without receiving any money and no one was hurt by the gunshot.

The store clerk took the stand and stated that she did not get a close enough look at the robber's face to make an identification, because the robber wore a ski mask.

As the cashier was pulling out the money to hand to him, she pressed a hidden button that activated an alarm and called the police. Startled by the alarm bells, the robber rushed out of the store.

Next, the detective testified that he arrived at the convenience store and interviewed the clerk. The detective recovered the 9mm bullet from the ceiling of the store, which was collected for forensic analysis.

Two days later, a police officer pulled over Richard Cole for speeding. During a search of the Defendant's vehicle, the detective located a 9mm handgun, which was legally licensed to the Defendant. Because this gun was the same caliber as the one used in the convenience store shooting, it was confiscated for testing. Richard Cole was subsequently arrested and charged with willfully discharging a firearm in a place of business. 
","NoMatch",131
"7",10,"1706123998.85531",19.2837120499462,"1706123797.37717","Richard Cole (defendant) - charged w/ wilfully discharging a firearm in a place of business. This crime is a felony. pleaded not guilty


Police received a 911 call from a convenience store clerk stating that a man had entered the store, pulled out a firearm, fired a shot into the ceiling, and then demanded money. The man ended up leaving the store without receiving any money and no one was hurt by the gunshot.

The store clerk took the stand and stated that she did not get a close enough look at the robber's face to make an identification, because the robber wore a ski mask.

As the cashier was pulling out the money to hand to him, she pressed a hidden button that activated an alarm and called the police. Startled by the alarm bells, the robber rushed out of the store.

Next, the detective testified that he arrived at the convenience store and interviewed the clerk. The detective recovered the 9mm bullet from the ceiling of the store, which was collected for forensic analysis.

Two days later, a police officer pulled over Richard Cole for speeding. During a search of the Defendant's vehicle, the detective located a 9mm handgun, which was legally licensed to the Defendant. Because this gun was the same caliber as the one used in the convenience store shooting, it was confiscated for testing. Richard Cole was subsequently arrested and charged with willfully discharging a firearm in a place of business. 
","NoMatch",131
"8",11,"1706124033.34543",19.2837120499462,"1706123797.37717","Richard Cole (defendant) - charged w/ wilfully discharging a firearm in a place of business. This crime is a felony. pleaded not guilty


Police received a 911 call from a convenience store clerk stating that a man had entered the store, pulled out a firearm, fired a shot into the ceiling, and then demanded money. The man ended up leaving the store without receiving any money and no one was hurt by the gunshot.

The store clerk took the stand and stated that she did not get a close enough look at the robber's face to make an identification, because the robber wore a ski mask.

As the cashier was pulling out the money to hand to him, she pressed a hidden button that activated an alarm and called the police. Startled by the alarm bells, the robber rushed out of the store.

Next, the detective testified that he arrived at the convenience store and interviewed the clerk. The detective recovered the 9mm bullet from the ceiling of the store, which was collected for forensic analysis.

Two days later, a police officer pulled over Richard Cole for speeding. During a search of the Defendant's vehicle, the detective located a 9mm handgun, which was legally licensed to the Defendant. Because this gun was the same caliber as the one used in the convenience store shooting, it was confiscated for testing. Richard Cole was subsequently arrested and charged with willfully discharging a firearm in a place of business. 

I was asked to compare a bullet from the crime scene to a test fire from the gun recovered from the traffic stop.

 Yes. In the interior of a barrel there are raised portions called lands and depressed areas called grooves. When a bullet passes down the barrel, a bullet will spin and that gives it stability and accuracy over a distance. Those raised areas are designed by the manufacturer. They're cut into the barrel. And each particular file has a different combination of lands and grooves. But essentially what those lands do is grip a bullet and spin it, and as that bullet passes down the barrel, it scratches the random imperfections of that barrel into the bullet. 
 Yes. This bullet had six lands. And the interior of the barrel, the barrel will either twist right or it will twist left. And in this particular case, the barrel twists right. And you can see that by looking at the bullet. If you look at the base of the bullet, either it goes to the left or goes to the right. ","NoMatch",131
"9",5,"1706124098.11553",67.6017088117078,"1706123758.77487","","NoMatch",1
"10",6,"1706124200.10163",67.6017088117078,"1706123758.77487","Richard Cole - has been charged with willfully discharging a firearm in a place of business - pleaded not guilty","NoMatch",1
