Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
REDACTED,REDACTED,APPROVED,Not Applicable,REDACTED,REDACTED,REDACTED,REDACTED,885,REDACTED,REDACTED,English,59,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
REDACTED,REDACTED,APPROVED,Not Applicable,REDACTED,REDACTED,REDACTED,REDACTED,1021,REDACTED,REDACTED,English,60,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
REDACTED,REDACTED,APPROVED,Not Applicable,REDACTED,REDACTED,REDACTED,REDACTED,3004,REDACTED,REDACTED,English,58,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
REDACTED,REDACTED,APPROVED,Not Applicable,REDACTED,REDACTED,REDACTED,REDACTED,876,REDACTED,REDACTED,English,64,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
REDACTED,REDACTED,APPROVED,Not Applicable,REDACTED,REDACTED,REDACTED,REDACTED,1389,REDACTED,REDACTED,English,69,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
REDACTED,REDACTED,APPROVED,Not Applicable,REDACTED,REDACTED,REDACTED,REDACTED,919,REDACTED,REDACTED,English,58,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
REDACTED,REDACTED,APPROVED,Not Applicable,REDACTED,REDACTED,REDACTED,REDACTED,797,REDACTED,REDACTED,English,62,Female,White,United States,United States,United States,English,No,Part-Time
REDACTED,REDACTED,APPROVED,Not Applicable,REDACTED,REDACTED,REDACTED,REDACTED,1312,REDACTED,REDACTED,English,58,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
REDACTED,REDACTED,APPROVED,Not Applicable,REDACTED,REDACTED,REDACTED,REDACTED,1157,REDACTED,REDACTED,English,75,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
REDACTED,REDACTED,APPROVED,Not Applicable,REDACTED,REDACTED,REDACTED,REDACTED,1389,REDACTED,REDACTED,English,59,Female,White,United States,United States,United States,English,No,Part-Time
REDACTED,REDACTED,APPROVED,Not Applicable,REDACTED,REDACTED,REDACTED,REDACTED,596,REDACTED,REDACTED,English,59,Female,White,United States,United States,United States,English,No,Part-Time
REDACTED,REDACTED,APPROVED,Not Applicable,REDACTED,REDACTED,REDACTED,REDACTED,1294,REDACTED,REDACTED,English,64,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
REDACTED,REDACTED,APPROVED,Not Applicable,REDACTED,REDACTED,REDACTED,REDACTED,715,REDACTED,REDACTED,English,60,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
REDACTED,REDACTED,APPROVED,Not Applicable,REDACTED,REDACTED,REDACTED,REDACTED,3734,REDACTED,REDACTED,English,65,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
REDACTED,REDACTED,APPROVED,Not Applicable,REDACTED,REDACTED,REDACTED,REDACTED,1146,REDACTED,REDACTED,English,69,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
REDACTED,REDACTED,APPROVED,Not Applicable,REDACTED,REDACTED,REDACTED,REDACTED,1901,REDACTED,REDACTED,English,71,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
REDACTED,REDACTED,APPROVED,Not Applicable,REDACTED,REDACTED,REDACTED,REDACTED,1704,REDACTED,REDACTED,"English, French",61,Female,White,United States,United States,United States,English,No,Full-Time
REDACTED,REDACTED,APPROVED,Not Applicable,REDACTED,REDACTED,REDACTED,REDACTED,1073,REDACTED,REDACTED,English,61,Female,White,United States,United States,United States,English,No,Other
REDACTED,REDACTED,APPROVED,Not Applicable,REDACTED,REDACTED,REDACTED,REDACTED,904,REDACTED,REDACTED,English,60,Female,White,United States,United States,United States,English,No,Part-Time
REDACTED,REDACTED,APPROVED,Not Applicable,REDACTED,REDACTED,REDACTED,REDACTED,817,REDACTED,REDACTED,English,63,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
