"","page","randomnumber","start_time","question","conclusion"
"1",19,67.6017088117078,"1706123758.77487","convict","NoMatch"
"2",20,67.6017088117078,"1706123758.77487","def_comment","NoMatch"
"3",21,67.6017088117078,"1706123758.77487","guilt_opinion","NoMatch"
"4",22,67.6017088117078,"1706123758.77487","betting","NoMatch"
"5",23,67.6017088117078,"1706123758.77487","hidden_probability","NoMatch"
"6",24,67.6017088117078,"1706123758.77487","chances_fixed","NoMatch"
"7",25,67.6017088117078,"1706123758.77487","evidence_strength","NoMatch"
"8",26,67.6017088117078,"1706123758.77487","numeric_chance","NoMatch"
"9",27,67.6017088117078,"1706123758.77487","check","NoMatch"
"10",28,67.6017088117078,"1706123758.77487","visible_probability","NoMatch"
"11",29,67.6017088117078,"1706123758.77487","comments","NoMatch"
"12",19,43.9092888729647,"1706125742.12596","convict","NoMatch"
"13",20,43.9092888729647,"1706125742.12596","def_comment","NoMatch"
"14",21,43.9092888729647,"1706125742.12596","guilt_opinion","NoMatch"
"15",22,43.9092888729647,"1706125742.12596","numeric_chance","NoMatch"
"16",23,43.9092888729647,"1706125742.12596","visible_probability","NoMatch"
"17",24,43.9092888729647,"1706125742.12596","betting","NoMatch"
"18",25,43.9092888729647,"1706125742.12596","chances_fixed","NoMatch"
"19",26,43.9092888729647,"1706125742.12596","check","NoMatch"
"20",27,43.9092888729647,"1706125742.12596","evidence_strength","NoMatch"
"21",28,43.9092888729647,"1706125742.12596","hidden_probability","NoMatch"
"22",29,43.9092888729647,"1706125742.12596","comments","NoMatch"
"23",19,65.7362705096602,"1706126726.11067","convict","NoMatch"
"24",20,65.7362705096602,"1706126726.11067","def_comment","NoMatch"
"25",21,65.7362705096602,"1706126726.11067","guilt_opinion","NoMatch"
"26",22,65.7362705096602,"1706126726.11067","betting","NoMatch"
"27",23,65.7362705096602,"1706126726.11067","hidden_probability","NoMatch"
"28",24,65.7362705096602,"1706126726.11067","numeric_chance","NoMatch"
"29",25,65.7362705096602,"1706126726.11067","evidence_strength","NoMatch"
"30",26,65.7362705096602,"1706126726.11067","check","NoMatch"
"31",27,65.7362705096602,"1706126726.11067","chances_fixed","NoMatch"
