"","gender","age","income","gunown","guncomfort","page.x","time.x","randomnumber","start_time","conclusion","education","vote","political","arrest","state","jury","crimejury","page.y","time.y","convict","def_comment","guilt_opinion","betting","hidden_probability","chances_fixed","evidence_strength","numeric_chance","check","visible_probability"
"1","Man","26 - 35","$20,000 - $29,999","No","Slightly Uncomfortable",2,"1706123795.39667",67.6017088117078,"1706123758.77487","NoMatch","Some college","Democratic","Somewhat Liberal","Yes","TN","No","N/A",4,"1706124081.03701","No","He should drive safer but if the bullets don't match to his gun, then it seems like he didn't do it. Other than that, I have no opinion. ","No","50","0","Impossible that he is guilty","2","guilty,1,1000000","9mm","5"
"2","Man","56 - 65","$100,000 - $149,999","No","Extremely Uncomfortable",2,"1706125759.17537",43.9092888729647,"1706125742.12596","NoMatch","4 year degree","Republican","Somewhat Conservative","No","NY","Yes","Yes",4,"1706125775.30678","No","He was likely not the perpetrator","No","40","2","About 1 chance in 100","1 Not at all strong","innocent,97,100","9mm","3"
"3","Man","26 - 35","Less than $10,000","No","Moderately Comfortable",2,"1706126813.34321",65.7362705096602,"1706126726.11067","NoMatch","2 year degree","No consistent preference","Middle of the Road","No","MA","No","N/A",4,"1706126851.03658","No","I think the defendant based on this information simply had a 9mm and was caught speeding. That gun is tied to him, but that gun isn't tied to this crime. I think the info presented doesn't give me any reason to believe or be convinced he is guilty.","No","25","2","About 1 chance in 100","1 Not at all strong","innocent,97,100","9mm","1"
"4","Woman","36 - 45","$80,000 - $89,999","No","Extremely Uncomfortable",2,"1706130264.1318",30.1106947241351,"1706130233.62301","Match","2 year degree","Democratic","Middle of the Road","No","NC","No","N/A",4,"1706130291.5571","Yes","They may be guilty of the charge","Yes","5","93","About 99 chances in 100","8","guilty,95,100","9mm","95"
"5","Woman","18 - 25","$100,000 - $149,999","No","Slightly Uncomfortable",2,"1706131599.51074",77.767697465606,"1706131469.76699","Match","Some college","Democratic","Very Liberal","No","MO","No","N/A",4,"1706131643.4766","No","I think that there is reason to believe that the gun in the crime might have been the same one, but as the examiner said, there is a chance that another examiner may have come to a different conclusion.","Yes","30","96","About 99 chances in 100","6","guilty,95,100","9mm","95"
"6","Woman","26 - 35","$90,000 - $99,999","No","Extremely Uncomfortable",2,"1706133399.63229",5.73087329976261,"1706133329.89312","NoMatch","High school graduate","Democratic","Very Liberal","No","CA","Yes","No",4,"1706133427.24167","No","I think they probably did not commit the crime if the bullet was fired by a different gun, but I am not confident enough in my answer to say not guilty.","No","25","8","About 1 chance in 10","9 Extremely strong","innocent,7,10","9mm","23"
"7","Woman","36 - 45","$70,000 - $79,999","No","Slightly Uncomfortable",2,"1706134698.22564",26.6640982590616,"1706134600.9452","Match","4 year degree","No consistent preference","Somewhat Conservative","No","CT","No","N/A",4,"1706134735.47761","Yes","Guilty as charged, sufficient evidence to prove beyond reasonable doubt they fired the firearm","Yes","50","99","About 99 chances in 100","9 Extremely strong","innocent,1,100","9mm","99"
"8","Woman","36 - 45","$20,000 - $29,999","No","Moderately Uncomfortable",2,"1706136740.58955",92.9504418978468,"1706136631.48223","NoMatch","4 year degree","Democratic","Somewhat Liberal","Yes","VA","Yes","No",4,"1706136772.64261","No","I think he's not guilty.","No","50","1","About 1 chance in 10,000","1 Not at all strong","guilty,1,10000","9mm","1"
"9","Woman","Over 65","$80,000 - $89,999","No","Extremely Uncomfortable",2,"1706138015.51795",65.6585521996021,"1706137991.69262","NoMatch","Professional degree","Democratic","Somewhat Liberal","No","MI","No","N/A",4,"1706138040.57999","No","I think that either he used another gun or he is not guilty","No","50","50","About 1 chance in 100","1 Not at all strong","innocent,9,10","9mm","20"
"10","Woman","56 - 65","$90,000 - $99,999","Yes","Moderately Uncomfortable",2,"1706138245.5235",74.1846734425053,"1706138209.97346","Match","High school graduate","Republican","Middle of the Road","No","AZ","No","N/A",3,"1706138266.87185","No","Don’t really know enough about him to make a judgement ","No","25","50","1 chance in 2 (fifty-fifty chance)","2","innocent,2,2","9mm","50"
