"","...1","guilty","strength","gunstrength","probability","gunprob","check1","firetestcred","algtestcred","overrel","examrel","algrel","examsci","oversci","algsci","expunder","algunder","mistakes","firerel","check2","firesci","unique","harm","time","scenario_number","algorithm","picture","conclusion","typos","clean_prints"
"1",1,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",5,5,"9mm","Extremely credible","Extremely credible","Weakly reliable","Extremely reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658154867.36735,12,"Yes","Yes","NoMatch","Uncorrected",502
"2",2,"No","2.0","4.0",30,50,"9mm","Extremely credible","Extremely credible","Weakly reliable","Extremely reliable","Neither reliable nor unreliable","Weakly scientific","Moderately unscientific","Moderately unscientific","5 <br/> I understood everything","5 <br/> I understood everything","Sometimes","Weakly reliable","Moderately reliable","Neither scientific nor unscientific","Yes","The errors are equally bad",1658155095.57149,11,"Yes","Yes","Inconclusive","Uncorrected",52
"3",3,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",10,10,"9mm","Weakly credible","Weakly credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","4.0","Occasionally","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658155357.04321,8,"Yes","No","Inconclusive","Uncorrected",570
"4",4,"No","7.0","7.0",77,77,"22mm","Extremely credible","Extremely credible","Moderately reliable","Extremely reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","2.0","2.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658156528.71476,11,"Yes","Yes","Inconclusive","Uncorrected",16
"5",5,"Yes","7.0","8.0",80,86,"9mm","Moderately credible","Extremely credible","Moderately reliable","Extremely reliable","Extremely reliable","Extremely scientific","Moderately scientific","Extremely scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658157233.52976,11,"Yes","Yes","Inconclusive","Uncorrected",339
"6",6,"Yes","5 <br/> Moderately strong","6.0",90,74,"9mm","Moderately credible","Moderately credible","Weakly reliable","Moderately reliable","Moderately reliable","Moderately scientific","Weakly scientific","Weakly scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658159108.70111,9,"Yes","No","NoMatch","Uncorrected",540
"7",7,"Yes","5 <br/> Moderately strong","9 <br/> Extremely strong",50,89,"9mm","Moderately credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658254570.8388,9,"Yes","No","NoMatch","Uncorrected",389
"8",8,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",0,0,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658254588.1378,9,"Yes","No","NoMatch","Uncorrected",352
"9",9,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",5,0,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","3 <br/> I understood about half of the method","Occasionally","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658255218.7543,12,"Yes","Yes","NoMatch","Uncorrected",508
"10",10,"Yes","6.0","8.0",80,86,"9mm","Moderately credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","3 <br/> I understood about half of the method","4.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658255691.99818,7,"Yes","No","Match","Uncorrected",346
